attention,url,unit_price,region,house_info,visited,publishday,total_price
173,,24375,李园二村 , | 2室1厅 | 62.36平米 | 南 | 简装 | 无电梯,4,,152
115,,50108,三林新村(永泰路468弄) , | 2室2厅 | 83.82平米 | 南 | 简装 | 有电梯,24,,420
66,,70565,紫荆新苑 , | 3室2厅 | 119.04平米 | 南 | 简装 | 无电梯,5,,840
27,,61933,万科假日风景(公寓) , | 3室2厅 | 138.86平米 | 南 | 精装 | 有电梯,22,,860
10,,93512,世茂滨江花园 , | 2室2厅 | 139.02平米 | 东南 | 精装 | 有电梯,29,,1300
30,,31245,乐业五村 , | 2室1厅 | 56.01平米 | 南 | 简装 | 无电梯,15,13,175
145,,20550,同润蓝美俊庭 , | 2室2厅 | 92.46平米 | 南 | 毛坯,6,,190
53,,51692,中鼎豪园 , | 3室2厅 | 138.32平米 | 南 | 毛坯 | 有电梯,7,,715
197,,50235,保利叶语(二期)(公寓) , | 4室2厅 | 123.42平米 | 南 西 北 | 毛坯 | 有电梯,16,,620
104,,38092,远洋香奈 , | 3室2厅 | 115.51平米 | 南 | 毛坯 | 有电梯,11,,440
179,,37827,新天地荻泾花园 , | 3室2厅 | 93.85平米 | 南 | 毛坯 | 有电梯,11,,355
254,,57785,万科朗润园 , | 2室2厅 | 91.72平米 | 南 | 精装 | 无电梯,14,,530
274,,47439,中环一号(一期) , | 2室2厅 | 97.39平米 | 南 | 毛坯 | 有电梯,0,,462
86,,73481,仁恒森兰雅苑 , | 4室2厅 | 181平米 | 南 | 精装 | 有电梯,18,,1330
203,,46347,杉林新月环林东路879弄 , | 3室1厅 | 74.44平米 | 南 北 | 简装 | 无电梯,16,,345
245,,50360,思浦小区 , | 2室0厅 | 48.65平米 | 南 | 简装 | 无电梯,10,,245
64,,95456,陆家嘴花园(一期) , | 3室2厅 | 146.56平米 | 南 | 精装 | 有电梯,18,,1399
41,,59093,新浦江城(江栀路350弄) , | 2室2厅 | 89.69平米 | 南 北 | 毛坯 | 有电梯,11,,530
57,,83123,金瓯万国大厦 , | 3室2厅 | 126.32平米 | 南 北 | 精装 | 有电梯,14,,1050
54,,48177,金坤花园 , | 3室2厅 | 134.92平米 | 南 北 | 精装 | 无电梯,17,,650
24,,37010,汇丰沁苑 , | 3室2厅 | 135.1平米 | 南 北 | 毛坯 | 有电梯,11,,500
117,,32536,浦润苑 , | 2室2厅 | 80.22平米 | 南 | 毛坯 | 有电梯,17,,261
17,,83145,曹家巷小区 , | 2室1厅 | 52.92平米 | 南 北 | 简装 | 无电梯,9,,440
15,,83062,中星海上景庭 , | 3室2厅 | 150.49平米 | 南 | 精装 | 有电梯,12,,1250
54,,75673,创世纪花园 , | 3室2厅 | 137.17平米 | 南 | 简装 | 有电梯,19,,1038
30,,35497,成亿宝盛家苑 , | 2室2厅 | 73.81平米 | 南 | 简装 | 无电梯,17,,262
